Personal profile,Review,Number of likes,Store name,Region
"Local Guide Â· 490 reviews Â· 1,667 photos","The store is small and narrow making it difficult to get past other shoppers and the staff I dealt with were impatient, not very helpful and/or rude. I would suggest making your way up to the store near Marble Arch station or going somewhere else but I could not recommend this store.",,Foot Locker,London
1 review,"William was very accommodating, made the visit very easy. Was happy to help no matter how many times I changed my mind. Balanced me and many other customers at the same time, a credit to the team",,Foot Locker,London
1 review,"lovely experience with certain workers such as Ahmed, helped me find the right shoes ive been searching for for over a year now and also ensured that my sizes were available. to help a customer so much on a rush during boxing day is well above satisfactory service- thank you ahmed!",,Foot Locker,London
2 reviews,"My recent shopping experience at your store was unfortunately marred by the disagreeable behavior of the cashier on duty. Her lack of a smile and her hasty approach created an unwelcoming atmosphere, significantly detracting from the level ",,Foot Locker,London
Local Guide Â· 25 reviews Â· 52 photos,Hameema very helpful with my Air Jordan 1 for my brother birthday shoes.,,Foot Locker,London
Local Guide Â· 66 reviews Â· 2 photos,"Excellent service in this store. Saira was available as soon as I needed assistance. Welcoming, efficient and knowledgeable about products.
Highly recommended. ",,Foot Locker,London
8 reviews,"The people who work here actually provide THE WORST service ever and their attitude is lacking as if I owe them money. Very cold and curt, and extremely unhelpful",,Foot Locker,London
3 reviews,"I'm a 50 year old lady was shopping with my son I've never known staff to be so rude they need all there staff go on customer service course and learn how communicate with the public
LEARN MANNERS",,Foot Locker,London
12 reviews Â· 1 photo,"kelva was attentive and very helpful on christmas eve eve, a busy day in central london",,Foot Locker,London
Local Guide Â· 280 reviews Â· 15 photos,1 Star is way to much. Went here on Thursday 29th 06.23/ 6.10.23 rude female staff didn't want to help me or anything. only got dirty look. Someone need training,,Foot Locker,London
Local Guide Â· 73 reviews Â· 115 photos,"Foot locker, maybe one of the best stores available that you can walk in, and maybe find something out of the ordinary or something that is not as common, good choice  could be bigger, but other than that not too bad for your latest trainers. ",,Foot Locker,London
3 reviews,Veryyy rude staff !! Very poor Service !! Rude Chinese guy works there was so rude to me and my misses and the manger is worse than him ! Very disrespectful staff and dont want to help,,Foot Locker,London
4 reviews,"Its 12:06 on a Sunday afternoon and these geezers where supposed to open 6 minutes ago, they have been standing there chatting for 20 minutes and they wont open the store. Update: the biggest size they had in the shoe I wanted was 8.5 US. I am size 12 because Im a beast (RAAAHHHH) overall, not a good experience, highly recommend.",,Foot Locker,London
"Local Guide Â· 224 reviews Â· 8,205 photos","Unhelpful staff. That's all I can say, considering I walked down Oxford Street to find this place and actually buy slip-on walking shoes and cotton sports socks... very sad for the brand...",,Foot Locker,London
122 reviews,Good range but out of most sizes.,,Foot Locker,London
Local Guide Â· 47 reviews Â· 72 photos,"We were shopping and the manager made us leave because it was 6pm, closing time, however,  he did not ask the Caucasian customers to leave. After locking the door because they are ""closed"", all the white customers were still allows to ",,Foot Locker,London
Local Guide Â· 369 reviews Â· 134 photos,"Great stuff, lots of choices but if you want to click and collect there's no next day delivery options, so you may need 3-4 days. Understandable but take this into consideration if you stay in London for fewer days!",,Foot Locker,London
33 reviews,"Good selection of shoes but the staff was absolutely lazy. The shop was full they didnt care to help anyone, 4 of them chatting also very rude and grumpy when you would ask for help.",,Foot Locker,London
3 reviews,Have you ever had a shop assistant laugh with their coworkers when you ask for a shoe size and then proceed to take 10 minutes to bring out the incorrect size? And when you point to the size label on the tongue to show them the size says ,,Foot Locker,London
"Local Guide Â· 530 reviews Â· 1,124 photos","Couldnt find my size, when I found it the give me wrong shoe  ",,Foot Locker,London
Local Guide Â· 58 reviews Â· 189 photos,"Great service, staff was really helpful, and they fo have quite a good variety of sneakers, clothes, and prices are correct. Will definitely come back!",,Foot Locker,London
Local Guide Â· 49 reviews Â· 46 photos,"I was served today by Ms. Saira Khan, at store no. 3104198 (283 Oxford Street, London W1C) register 2 time 18:26 on 19/01/2023  with her team Ms. Jennyfer  Soliz & Roberto Puddu at customer care counter & Cashiers till. ",,Foot Locker,London
3 reviews Â· 2 photos,Fast service nice staff and I got a jordan for Â£120 and its worth it,,Foot Locker,London
6 reviews Â· 1 photo,Absolutely clueless and lazy staff. Asked the availability of an item and was told they dont stock it there after I was referred to them by a different store. I asked two separate staff members and both had the same answer. After hunting ,,Foot Locker,London
Local Guide Â· 53 reviews Â· 4 photos,"Busy place lots of choices available, polite helpful staff, good shopping experience",,Foot Locker,London
3 reviews,"My wife and I walked in yesterday as it was my birthday and wanted to treat myself to a pair of trainers each and the staff were utterly uninterested in engaging with us, A they had a unapproachable attitude, B were talking to their ",,Foot Locker,London
30 reviews Â· 2 photos,Nice friendly atmosphere in the shop. The staff were extremely helpful and I managed to purchase what I went in for.,,Foot Locker,London
3 reviews,i bought a shoe this week which is quite pricey. the staff advised me to put the shoes on and walk around the store to feel the fit.. when i wanted to take the shoe back 2 days after  (note that i did NOT wear this shoe out once as i ,,Foot Locker,London
5 reviews,"Wouldn't recommend using Footlocker at all, the website crashes when paying and they have some serious customer service issues. After following packing instruction about a return, footlocker haven't responded and refuse to take responsibility even though I followed instructions given in their packaging. Crazy how poor the website is in 2023.",,Foot Locker,London
Local Guide Â· 132 reviews Â· 52 photos,"The worst footlocker in London, staff were very rude. Discount was not applied even if its online and Instore. Stay away from this shop just walk 5 minutes ahead you will find another footlocker which is better then this rubbish.",,Foot Locker,London
44 reviews,Lovely staff! Very helpful and polite. Went out of their way to find the trainers I wanted. As I was not feeling very well today I really appreciated their kindness. Thank you very much!!!,,Foot Locker,London
3 reviews,Excellent service highly recommended,,Foot Locker,London
2 reviews Â· 4 photos,"Poor service.
Found a new released pair in the store. After trying on my regular size, I felt them large for me so I asked for a smaller one. However, the smaller pair were a little tight... so I asked for the first pair again.
The staff put on a impatient face immediately and turned me down by asking me why I need the first pair again and told me they were big for me.
After my insistence and explanation, she helped me find the first pair and I took it.
She even threw the shoe box down on the cashier desk rudely.
From stepping into the store to my payment was less than 8 minutes time and I talked to the staff politely.
Couldnt find a clue why she was so impatient to me and how I bothered her.
I regret having purchased at that store already and definitely wont go there again.",,Foot Locker,London
1 review,"Total disaster. Bought Jordans for my son, traveled to Dubai, only to find out they gave me two different sizes - one for each foot.. and now no one answers the phone.",,Foot Locker,London
7 reviews Â· 8 photos,Great workers at the store with a high level of understanding of what I was looking for. Great customer service and always going beyond expectation each time I come to shop in the store. Highly recommend!!!!,,Foot Locker,London
Local Guide Â· 108 reviews Â· 246 photos,Haven't shopped at FL in years and popped into this branch on a whim in search of some all-white trainers. ,,Foot Locker,London
2 reviews,They only carry womens sizes up to 7 UK (about 8.5 US).,,Foot Locker,London
21 reviews,Extremely helpful staff! Very pleasant and eager to assist (unlike the staff in Skechers nearby). My baby vomited in store and they helped with the unfortunate mess too.,,Foot Locker,London
Local Guide Â· 83 reviews Â· 12 photos,"There aren't too many products, and most of them are boring, I don't know why they don't order better ones, because every time I check Adidas' or Nike's websites, there are so many great products on them.

I like the basement tho, where you can find Jordan shoes and clothes, I bought shoes there  2x times.",,Foot Locker,London
5 reviews Â· 6 photos,The workers were rushing the customers here and there. There to get an insole and was told it's all free size and can be cut. Turns out the sizes are fixed and the one she palmed to me is too small for my feet. Come on! You had one job!,,Foot Locker,London
"Local Guide Â· 62 reviews Â· 1,699 photos",Very poor service practically Spaniards speaking very poorly in English. The manager was very unpleasant and nasty and surly. I was surprised when one of the employees checked the contents of my backpack without being entitled to do so. Maybe they have good locations but the behavior of the client leaves much to be desired.,,Foot Locker,London
Local Guide Â· 25 reviews Â· 24 photos,"Great options, but they didn't have my size.",,Foot Locker,London
46 reviews Â· 1 photo,My best Â« hello-> no answerÂ» experience in London !,,Foot Locker,London
Local Guide Â· 30 reviews,Staff are good but not enough shoe options,,Foot Locker,London
Local Guide Â· 27 reviews Â· 15 photos,"Over all everyone is working ... And try to be polite... My first impression was the welcoming staff he was not really interested to approach me until I walk up to him face to face so no way i can be ignored, and informed him my need ... He ",,Foot Locker,London
Local Guide Â· 159 reviews Â· 409 photos,Well stocked store and a lot of choice in footwear. due to Boxing Day sales store was busier than usual but staff were on hand to help.,,Foot Locker,London
12 reviews,I love this store was hard to give it a 2. The last 2 / 3 years its been lacking. The management is just not listening to what the customer wants BIG SIZES PLEASE. I Was in store over three weeks so many small sizes had to walk out and go to Nike town I got the same thing and sizes wanted.,,Foot Locker,London
28 reviews,Not that much NBA merchandise. Shoe selection was good but didn't have my size (UK 10) in many shoes and they didn't have the latest releases. Staff were friendly. Store was very busy and due to the small width of the store it felt crowded.,,Foot Locker,London
1 review,Amazing customer service was impressed with young man named Sully he was very helpful with quick service and showing me a lot of options as I wanted the perfect shoe. Thanks a lot mate,,Foot Locker,London
3 reviews,"We went into footlocker in Oxford street looking for Nike jordon 1s low . The sales lady whos name was summer was absolutely amazing , nothing was too much trouble for her . We had previously asked a man who worked there if they had Jordan 1s and he just said no . We were looking at a different pair when summer spoke to us , I asked her where I could get Jordan 1s as they had none and she said she was sure there was a pair out the back and would check , as it happened there was , the correct size and colour we were looking for . We were so pleased that we bought them and another pair of Nikes as well . Thankyou footlocker and especially summer !!",,Foot Locker,London
